datetime,open,high,low,close,volume,openinterest
2018-10-05 20:00:00,286.95,287.38,286.22,287.23,91330,45752
2018-10-05 21:00:00,287.23,288.05,287.0,287.94,85868,41444
2018-10-05 22:00:00,287.95,288.36,287.42,287.89,183553,75668
2018-10-08 16:30:00,287.04,288.0,286.71,287.73,68501,33782
2018-10-08 17:00:00,287.73,288.19,287.39,287.57,63119,34285
2018-10-08 18:00:00,287.57,287.6,285.5,286.13,123757,60188
2018-10-08 19:00:00,286.14,286.54,285.57,285.6,81176,41965
2018-10-08 20:00:00,285.59,286.69,285.55,286.4,68066,34904
2018-10-08 21:00:00,286.38,287.94,286.34,287.59,112309,51833
2018-10-08 22:00:00,287.59,288.22,287.51,287.79,157733,61728
2018-10-09 16:30:00,287.39,287.87,286.77,287.84,74759,31831
2018-10-09 17:00:00,287.84,288.86,287.49,288.02,95369,46492
2018-10-09 18:00:00,288.02,288.6,287.53,288.53,67389,33123
2018-10-09 19:00:00,288.53,288.75,287.18,287.46,94136,39836
2018-10-09 20:00:00,287.45,287.95,287.03,287.67,58102,26868
2018-10-09 21:00:00,287.68,288.19,287.36,288.08,57022,28215
2018-10-09 22:00:00,288.08,288.15,287.35,287.43,129036,54821
2018-10-10 16:30:00,286.83,286.91,284.59,284.72,132318,58409
2018-10-10 17:00:00,284.74,285.05,283.95,284.26,210124,104114
2018-10-10 18:00:00,284.27,284.36,282.69,283.12,196354,96118
2018-10-10 19:00:00,283.11,283.88,282.74,283.03,114349,56152
2018-10-10 20:00:00,283.03,283.8,282.31,282.85,112670,54789
2018-10-10 21:00:00,282.84,282.95,281.05,281.63,196585,92528
2018-10-10 22:00:00,281.63,281.64,277.88,278.32,526334,230857
2018-10-11 16:30:00,277.08,278.9,276.21,278.78,233294,124818
2018-10-11 17:00:00,278.77,278.79,275.7,275.79,274839,157363
2018-10-11 18:00:00,275.81,276.88,273.91,276.12,289574,149667
2018-10-11 19:00:00,276.1,277.82,275.81,276.38,131529,74609
2018-10-11 20:00:00,276.38,276.9,274.9,275.99,116755,67086
2018-10-11 21:00:00,275.97,276.14,270.36,272.49,393937,208308
2018-10-11 22:00:00,272.49,275.7,272.0,272.25,576845,299549
2018-10-12 16:30:00,276.77,277.09,275.67,276.63,149341,78925
2018-10-12 17:00:00,276.62,276.95,275.07,276.11,180126,105736
2018-10-12 18:00:00,276.12,276.5,274.22,274.87,132787,77547
2018-10-12 19:00:00,274.87,274.91,272.37,273.57,197298,114594
2018-10-12 20:00:00,273.56,274.74,272.88,273.85,162303,98640
2018-10-12 21:00:00,273.85,274.63,272.66,274.45,158200,98957
2018-10-12 22:00:00,274.45,277.02,273.9,276.03,322304,175478
2018-10-15 16:30:00,275.55,276.14,275.11,275.28,89551,52174
2018-10-15 17:00:00,275.26,275.71,274.3,275.57,109209,67833
2018-10-15 18:00:00,275.58,276.65,275.11,275.23,104293,59844
2018-10-15 19:00:00,275.23,276.06,274.62,275.75,78773,46369
2018-10-15 20:00:00,275.75,276.84,275.67,276.56,66967,40485
2018-10-15 21:00:00,276.57,277.04,275.36,276.73,75275,41396
2018-10-15 22:00:00,276.73,276.95,274.46,274.46,229504,114211
2018-10-16 16:30:00,276.57,277.0,276.07,277.0,88387,45443
2018-10-16 17:00:00,276.99,278.1,276.67,278.08,133366,67064
2018-10-16 18:00:00,278.07,278.69,277.78,278.66,89150,45300
2018-10-16 19:00:00,278.66,279.02,278.35,278.98,51582,25762
2018-10-16 20:00:00,278.97,279.75,278.78,279.36,73015,35426
2018-10-16 21:00:00,279.36,280.03,279.36,279.53,88527,44795
2018-10-16 22:00:00,279.53,280.82,279.26,280.29,224309,92288
2018-10-17 16:30:00,280.44,280.46,279.13,279.13,78245,41335
2018-10-17 17:00:00,279.14,279.48,277.56,278.21,163059,81475
2018-10-17 18:00:00,278.21,280.29,277.79,280.27,110925,58176
2018-10-17 19:00:00,280.28,281.0,279.98,280.66,88597,47861
2018-10-17 20:00:00,280.67,281.15,280.52,280.76,64145,31824
2018-10-17 21:00:00,280.78,280.97,279.19,280.68,115124,60527
2018-10-17 22:00:00,280.68,280.79,279.39,280.41,197160,108419
2018-10-18 16:30:00,279.4,279.47,278.48,278.74,66178,32969
2018-10-18 17:00:00,278.72,280.07,278.33,279.89,112802,64859
2018-10-18 18:00:00,279.89,280.0,276.09,276.54,187251,104703
2018-10-18 19:00:00,276.53,277.94,276.22,277.18,140229,78210
2018-10-18 20:00:00,277.16,277.39,274.97,275.41,184435,98540
2018-10-18 21:00:00,275.39,277.07,275.29,276.39,135200,78999
2018-10-18 22:00:00,276.39,277.02,275.57,276.5,236360,117655
2018-10-19 16:30:00,277.12,278.79,277.09,278.44,95780,48619
2018-10-19 17:00:00,278.45,279.3,278.2,278.72,117837,61258
2018-10-19 18:00:00,278.71,279.0,277.24,277.98,110722,58019
2018-10-19 19:00:00,277.98,278.17,275.98,276.86,135408,75292
2018-10-19 20:00:00,276.86,277.61,276.17,276.73,87322,48698
2018-10-19 21:00:00,276.73,276.95,275.47,276.43,112835,65894
2018-10-19 22:00:00,276.43,277.11,275.89,276.2,208226,94102
2018-10-22 16:30:00,277.0,277.36,275.07,275.36,78643,40762
2018-10-22 17:00:00,275.36,276.78,274.41,276.4,158254,84964
2018-10-22 18:00:00,276.38,276.57,274.89,275.17,95400,52354
2018-10-22 19:00:00,275.18,275.83,274.59,275.38,74204,39563
2018-10-22 20:00:00,275.37,275.94,275.07,275.08,53055,29689
2018-10-22 21:00:00,275.08,275.8,274.94,275.55,59347,32248
2018-10-22 22:00:00,275.55,276.15,275.04,275.06,130893,64262
2018-10-23 16:30:00,270.94,271.72,270.04,270.66,143813,82710
2018-10-23 17:00:00,270.65,270.89,268.61,269.96,244207,137639
2018-10-23 18:00:00,269.95,271.11,269.48,269.58,131365,78324
2018-10-23 19:00:00,269.58,271.86,269.55,271.31,113446,63074
2018-10-23 20:00:00,271.31,273.02,271.22,271.66,137485,82720
2018-10-23 21:00:00,271.66,274.58,271.66,274.33,149344,81529
2018-10-23 22:00:00,274.32,274.87,273.27,273.53,216609,114315
2018-10-24 16:30:00,273.33,273.76,272.54,272.77,69181,38441
2018-10-24 17:00:00,272.78,273.12,271.49,271.53,132012,79506
2018-10-24 18:00:00,271.54,272.28,269.81,271.99,220699,128750
2018-10-24 19:00:00,271.99,272.16,270.31,271.03,101308,55891
2018-10-24 20:00:00,271.02,271.04,269.17,269.49,130735,80108
2018-10-24 21:00:00,269.49,270.61,268.71,269.2,174493,102499
2018-10-24 22:00:00,269.22,269.22,264.7,265.21,465761,235042
2018-10-25 16:30:00,267.37,268.3,266.23,268.09,150635,83614
2018-10-25 17:00:00,268.09,269.44,267.77,268.67,170727,104890
2018-10-25 18:00:00,268.66,270.1,267.94,269.44,126744,76565
2018-10-25 19:00:00,269.44,269.8,268.65,269.58,81794,49988
2018-10-25 20:00:00,269.59,270.27,268.75,269.81,79769,46739
2018-10-25 21:00:00,269.8,271.8,269.54,271.28,129893,71738
2018-10-25 22:00:00,271.29,271.81,269.56,270.13,233407,120131
2018-10-26 16:30:00,265.92,271.0,265.1,265.83,143959,76263
2018-10-26 17:00:00,265.81,265.81,262.29,262.48,272308,150230
2018-10-26 18:00:00,262.44,266.19,262.32,265.31,211944,99019
2018-10-26 19:00:00,265.31,268.32,265.22,267.56,172673,96979
2018-10-26 20:00:00,267.55,268.78,265.95,267.29,146044,84145
2018-10-26 21:00:00,267.3,267.59,264.13,264.47,183130,104366
2018-10-26 22:00:00,264.46,266.79,263.66,265.28,475037,231249
2018-10-29 15:30:00,268.78,269.25,268.26,269.02,95576,51209
2018-10-29 16:00:00,269.03,270.25,268.52,269.13,125535,69539
2018-10-29 17:00:00,269.15,269.42,267.41,267.42,104443,59299
2018-10-29 18:00:00,267.42,267.59,266.17,266.63,140575,87214
2018-10-29 19:00:00,266.64,267.89,266.6,266.99,90313,52292
2018-10-29 20:00:00,266.99,267.0,264.25,264.54,177943,95981
2018-10-29 21:00:00,264.55,264.62,259.85,263.81,464012,244466
2018-10-30 15:30:00,263.67,267.02,263.12,266.68,149467,85240
2018-10-30 16:00:00,266.7,266.92,264.18,264.59,199893,118800
2018-10-30 17:00:00,264.6,266.88,264.09,265.57,159401,90358
2018-10-30 18:00:00,265.58,266.31,264.66,264.69,113274,67410
2018-10-30 19:00:00,264.69,265.46,263.58,265.32,126973,70450
2018-10-30 20:00:00,265.34,266.61,264.12,266.29,152272,84211
2018-10-30 21:00:00,266.28,268.12,265.44,267.81,324692,156349
2018-10-31 15:30:00,270.65,271.65,270.12,271.51,106897,47652
2018-10-31 16:00:00,271.51,272.45,271.06,271.46,130629,64166
2018-10-31 17:00:00,271.48,272.0,270.8,271.23,104775,51550
2018-10-31 18:00:00,271.25,272.24,270.36,272.01,89916,46204
2018-10-31 19:00:00,272.02,272.77,271.81,272.42,79386,39512
2018-10-31 20:00:00,272.42,273.2,272.09,272.87,101984,50333
2018-10-31 21:00:00,272.86,273.23,270.54,270.69,351037,151930
2018-11-01 15:30:00,271.62,272.18,270.78,271.29,98248,48263
2018-11-01 16:00:00,271.27,272.81,270.38,272.62,157000,81692
2018-11-01 17:00:00,272.62,273.07,272.04,272.52,100201,47934
2018-11-01 18:00:00,272.53,273.09,272.15,273.04,62676,32562
2018-11-01 19:00:00,273.03,273.26,272.5,272.82,74345,38768
2018-11-01 20:00:00,272.82,273.21,272.43,273.13,73721,38196
2018-11-01 21:00:00,273.13,273.73,272.76,273.51,154834,69709
2018-11-02 15:30:00,274.74,275.23,274.2,274.41,86923,44665
2018-11-02 16:00:00,274.39,274.48,271.79,272.87,166625,86866
2018-11-02 17:00:00,272.88,272.94,271.16,271.94,129349,67165
2018-11-02 18:00:00,271.93,272.08,269.78,270.21,105750,53837
2018-11-02 19:00:00,270.19,271.38,269.59,270.91,105183,50119
2018-11-02 20:00:00,270.92,272.47,270.03,271.53,159168,79903
2018-11-02 21:00:00,271.53,272.14,270.81,271.8,182403,81369
2018-11-05 16:30:00,272.44,272.97,272.07,272.14,63800,32750
2018-11-05 17:00:00,272.16,272.95,271.35,272.87,94080,49795
2018-11-05 18:00:00,272.86,273.08,272.06,272.76,50850,26463
2018-11-05 19:00:00,272.76,272.86,272.07,272.29,37013,20218
2018-11-05 20:00:00,272.28,273.0,272.16,272.86,42528,20688
2018-11-05 21:00:00,272.87,274.01,272.64,273.75,77351,36526
2018-11-05 22:00:00,273.74,273.94,272.88,273.43,102305,49739
2018-11-06 16:30:00,273.32,274.82,273.25,274.6,51218,25088
2018-11-06 17:00:00,274.59,274.67,273.86,274.39,54811,30260
